OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20 
+,6349,701,5203,2840,4281,5792,9904,4304,3741,958,3904,5241,8106,5491,1081,1114,75,38,2224,651
+,8174,3597,8672,102,8253,8110,5180,2509,6284,5499,7362,552,5027,9298,855,4800,3248,5325,5375,8018
+,6106,3774,3905,9263,3253,9754,1675,8626,2084,3030,9100,2104,3136,202,4118,9350,3919,8808,5160,229
+,5069,1758,1120,9872,6813,6307,3846,9391,125,9891,4763,6978,2431,5217,136,4288,9691,5036,8024,9839
+,6262,8758,908,2854,8096,4125,4361,6730,4417,3972,5886,1279,2561,3819,6369,6827,4608,7980,2343,554
+,538,8159,6648,7508,3362,8436,6547,6677,3250,7876,5480,4570,3580,7849,6395,5008,4674,721,3202,9264
+,6101,6961,5980,1127,6037,2473,8646,9264,4709,7607,120,1968,2596,9331,209,1334,7703,2947,1707,6885
+,6137,9935,4392,1684,7498,6734,7378,2506,8033,5466,5298,134,4196,2492,8302,1870,6234,8721,8581,8285
+,9241,8734,2381,1842,769,253,7718,2793,2314,9362,3134,3716,4122,7050,7629,5532,3151,5507,4401,589
+,763,390,8724,4708,4088,5393,2454,2895,9431,2733,4235,7083,873,162,7745,209,3048,447,7537,5183
+,7330,9511,3560,9409,3469,3397,841,8579,7102,8851,9557,3487,874,2027,655,210,4614,2439,1023,6300
+,5572,4951,6635,8953,1716,3600,8454,7174,7021,6382,3354,5677,5924,9769,5866,3769,7351,9772,3837,2619
+,5628,592,6361,4479,8250,157,7579,7332,2236,4673,6985,3390,4754,4924,7491,7401,2063,8008,8302,1736
+,359,1068,9896,4724,4,999,2229,4248,4881,2659,7793,77,49,8027,2578,9544,5186,4303,3477,6296
+,3940,7879,1244,8536,5214,795,6685,521,6522,2312,4436,9698,1657,2709,5392,1098,984,4280,3994,7572
+,1349,5775,1296,5736,4165,5766,5301,350,520,7940,5423,8503,8882,754,587,4543,7349,3159,7356,7098
+,5331,5838,8995,7217,1200,2862,5277,7681,7735,9501,6108,3015,4286,2596,7908,2830,771,4209,7507,3398
+,868,8715,1666,2188,7112,5074,5997,2202,6596,5493,9152,3429,2355,7107,4702,1853,3994,9879,7936,4596
+,497,5281,2234,6107,3898,3123,3585,3004,8169,7660,7509,3877,2685,6909,1020,6929,8565,1745,4161,5056
+,7431,677,2197,9061,9867,5232,3999,5113,6770,6577,6046,8262,9481,3230,3859,6010,8219,3520,9782,1449
+,9051,193,1563,3142,8937,6458,8401,6813,1262,6141,9000,1020,1624,9671,4394,9416,9121,7519,1953,2968
+,2995,8843,261,3491,4048,5711,7938,839,824,1921,8424,6493,3830,5775,7544,9677,5086,4276,2831,5506
+,2716,1712,7486,7244,5584,4014,1839,7299,3494,1730,3176,1024,8559,7475,3905,9182,4199,8883,3971,3548
+,3326,1069,1620,666,5633,9546,6482,6929,148,5946,2335,7557,6479,5050,7080,1543,8305,9276,5223,5987
+,8787,4100,5016,8136,2758,1170,9583,6051,3380,6988,5756,5963,2324,9307,677,2059,6838,6538,6577,8874
+,8949,4219,6755,4055,4889,2445,7474,5964,6003,2070,2617,227,2572,3466,8139,3780,3453,8210,8033,1808
+,5999,7287,292,2295,4784,6027,3737,8536,7508,6214,3198,1862,5854,2751,7183,6878,1272,3259,6943,9829
+,9676,4935,3598,3445,2319,4054,2152,5728,4896,4166,4227,243,6578,6767,1438,9567,8764,8374,8369,2966
+,9764,5725,8826,6071,5706,5886,9855,3312,9004,4394,2043,5368,8927,1065,970,5951,7194,4380,7343,3001
+,620,2225,8118,2701,5893,1561,316,3662,3671,8699,4266,448,3404,1160,1055,9909,2920,7442,7244,850
+,4692,9713,3954,908,5886,2477,4941,91,6138,5023,5063,6331,8457,427,732,1347,978,4750,8878,6800
+,7155,6628,4423,4837,9010,7375,4649,8976,6514,4969,1700,1134,5646,5498,8558,3999,9024,6891,6123,7578
+,4074,9313,4466,8141,9696,3329,5849,7696,4651,2167,2151,9010,4455,1111,8026,3403,7472,8019,6530,4863
+,3352,9802,6447,3012,5239,6330,899,3575,7976,4401,3111,5718,4272,8681,7343,4779,696,2956,1630,9040
+,2557,7315,780,3682,5520,6677,4763,9697,7328,499,1383,5237,3203,3497,742,5999,8909,9684,9758,8486
+,8611,5231,5157,7379,7992,1561,4856,2472,2852,7507,6721,5099,5309,3816,5289,1203,7357,4206,4226,4500
+,8904,6232,2549,2813,7365,8127,4956,1522,9809,538,3249,3533,6429,9323,7923,5222,3275,4758,1344,1622
+,8088,5141,6040,6840,8112,4694,1521,1207,2680,2590,731,346,4683,2588,9569,5905,1673,2067,8868,5550
+,7368,1323,8507,8892,1573,9982,8907,757,9629,3993,8214,9884,1332,2404,749,8272,3637,8376,6127,2434
+,6812,4174,8258,4172,6248,3924,9367,8670,5353,6017,5085,6315,4842,6314,7647,610,1930,8505,6520,2673
+,3776,3989,5920,2833,4453,6501,6438,9087,3313,9238,2220,1203,2312,1054,7744,3462,771,5668,5024,2469
+,5904,2674,7753,1201,2176,4719,8195,4914,2867,2956,6666,8725,8050,7850,5251,5605,5819,2170,9917,7955
-,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6791,5292,4323,6897,3813,8567,8775,8639,7677,2079,3238,3181,863,4994,8556,385,409,4635,5387,6694
+,18,1774,9086,5648,3168,8694,8713,9946,1801,4668,4211,1067,9101,409,3144,2343,2051,5717,517,446
+,6055,5096,9615,5236,9560,6556,6278,8840,4952,7056,9027,7765,5565,9831,3238,5288,1137,4762,3314,1520
+,2432,7644,4161,6136,3045,8708,916,560,7784,2938,1968,7496,9370,9153,7978,6795,3106,2829,6513,5419
+,5344,8912,9965,4922,1324,8912,1819,3413,6550,8533,9625,2545,9050,6409,3191,8630,1427,9760,4723,6222
-,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1960,5191,8080,8994,7154,8839,7897,3249,1282,1244,1004,1186,1756,579,3657,9039,9901,4673,7812,1094
+,7022,2820,9867,3975,7245,3658,9328,1020,1194,3637,3160,2277,4808,9698,2503,6462,7380,6619,2517,8110
+,4380,6467,2514,737,3719,1341,7756,4512,9813,959,7720,4616,7785,3078,7454,1973,4072,5233,7191,7191
+,9934,6639,7492,930,5014,8809,5607,1822,3948,3401,8092,7241,2384,6927,5408,455,3177,7573,1866,282
+,8909,7384,9332,4355,4662,360,5274,9780,6532,2253,8645,4728,2495,5744,4930,2582,1448,1761,6989,4282
+,3043,4158,6666,851,8107,80,3668,3688,611,6167,1682,4024,6887,6896,6466,9073,535,4493,7871,3
+,1297,763,3659,4560,6002,8365,9937,3883,1812,9500,1111,8058,1983,7851,3986,1177,2552,4856,4119,2260
+,9711,45,9851,2520,2051,1790,3987,1048,6506,8085,6493,7590,3765,239,518,2555,9236,3611,8570,9137
+,4904,937,8611,9880,5331,4674,7361,763,5430,7515,5714,1398,5746,2889,1271,2091,7517,7965,8083,3135
+,2286,7099,4920,4269,6583,5356,4730,4252,997,6519,7300,9995,6315,8956,7563,3724,7629,2409,1842,3293
+,1820,6185,2360,5444,4554,7597,8991,1635,8180,9154,4658,8573,6847,848,7367,3053,7519,8095,8526,5757
+,8798,339,3940,7464,401,8602,5698,3579,4676,5929,7475,1995,2962,1247,2078,5444,4190,2967,7805,7409
+,7452,8468,3690,1807,1636,5750,6253,1855,6479,8816,4084,3419,1722,5194,9868,6853,1009,8657,5590,4998
+,6151,739,5658,6080,7822,9901,4088,8783,4998,107,3393,883,4136,3322,5518,8066,870,3610,3722,6868
+,4283,3390,3591,847,4558,1892,6110,2686,2001,947,3495,9888,3958,6667,2220,4623,3881,9764,54,8672
-,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7342,2806,5274,84,7513,1335,3273,2233,2621,8399,3984,6219,5069,3585,6402,7982,1707,4368,8039,289
+,4330,9349,9175,3728,2967,6635,3779,4411,6477,7017,5922,8851,3618,5375,9486,6251,7762,8741,6357,2857
-,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7985,3843,4981,7021,3697,2283,8547,8361,7203,9855,3388,5005,9404,4490,570,1394,9893,4291,5240,9701
-,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4911,5875,6887,5413,1630,4514,768,368,5178,8604,882,7964,1446,9350,478,3356,7741,7529,1508,2635
+,4943,4255,1490,9249,1695,5769,2875,941,7987,6620,1947,5083,8488,4484,6200,9638,5751,6845,7512,5830
+,2403,5578,3444,1599,5038,3705,6885,7464,7540,5387,682,2942,2086,4705,7363,4698,4272,6581,2530,6263
+,5968,6820,8126,4251,5920,9070,8324,3671,3982,8883,265,9283,6683,6791,3684,2973,4502,9502,8528,7795
+,6516,6499,9293,2398,6550,7718,2993,1700,4863,6460,5247,4446,3622,9254,2276,9119,8137,3516,627,7883
+,3683,4447,3621,4489,1880,6379,8280,8404,449,209,908,9395,7001,4322,6767,7977,7890,9068,1370,7568
+,5038,7383,8167,7329,486,5690,6189,2753,221,3189,8562,9656,1738,4935,9335,4569,6333,2057,1681,9545
+,9482,1819,7323,7223,7707,8399,7056,464,6468,9031,5291,8993,4018,1313,4669,4795,5324,252,2865,582
+,6224,9942,7914,4314,4195,9518,5643,4335,6078,4375,3437,7007,7880,3061,4787,6608,5203,2677,8221,7031
+,9783,6691,7746,1534,5671,5472,3706,4038,3065,5473,7904,3644,3245,7287,1612,1615,8145,9047,950,7511
-,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4434,2846,8251,630,3039,3454,7277,9092,1364,1788,1392,4423,1394,727,1891,3772,7640,376,5276,6367
+,6574,4202,826,2966,9161,3201,1172,4849,2932,702,2899,3397,4540,9769,8636,5880,1904,4680,2171,3325
+,3366,5256,5651,3600,2446,2569,3022,8947,8044,9362,3732,6497,3390,6360,2016,2845,1911,2535,7872,3136
-,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1273,4263,5864,2601,3127,843,111,3547,2326,158,1505,6567,8211,3379,1316,2905,2265,5650,1760,9287
+,2018,8462,6897,9602,2673,7545,8361,8985,979,1277,9802,4590,7576,8586,6375,7131,4756,8165,9005,549
+,3453,4422,8947,4340,7353,1181,771,5788,4662,1832,5912,3917,746,6971,6737,7300,4469,6300,845,4543
+,7994,5558,1721,9369,3313,5656,9171,5711,6371,2357,1922,1704,2685,9197,374,8891,1690,4822,1807,2313
+,7862,8817,7906,6940,4128,3282,3926,9486,9403,3434,3778,3497,5396,6111,3245,2425,6491,9906,6853,1211
+,1758,1468,7953,6300,5069,3786,3091,7458,8297,6069,3394,1635,8233,6237,2737,7485,1613,1835,5621,1634
+,2406,2036,906,227,212,52,9133,7403,9798,8348,8675,2324,7596,5414,1583,9749,1625,872,9190,9927
+,4965,3200,4578,5213,1565,2992,1780,1678,3377,2925,4803,2539,563,9413,5107,9694,4175,3682,6024,7202
+,5997,1550,602,2113,6659,2809,9180,8966,625,8754,1247,5588,968,8241,4396,7733,1391,9059,1277,9394
+,7802,7225,458,8510,173,9535,2845,1724,5199,3834,6306,3265,1108,1299,9398,3756,9639,8525,9361,7106
+,4457,7397,5279,8708,5471,5838,9990,8007,4201,6007,7187,7313,3828,9126,3149,2509,930,2077,8339,2366
+,5149,7491,5447,9689,6244,8749,1815,7123,5424,607,4600,6501,1240,4741,7480,895,1808,592,2145,5761
+,656,739,2732,3255,5411,4620,7817,995,8943,2404,4974,969,454,4248,6264,1652,8656,1863,566,370
+,83,801,9808,1498,3780,4536,8940,8660,9016,8789,4036,9958,3494,6807,4895,1957,4109,5377,6482,285
+,8809,4960,3071,7632,8183,4328,5085,709,58,6091,3380,8573,3978,8155,8373,1283,6239,4839,8431,3492
+,7790,8718,1238,6663,1585,1363,8623,8209,9641,3312,8008,7011,3798,8689,7962,8562,7352,8918,9742,4202
+,7357,8455,1907,2615,5758,4219,2776,9411,1385,1748,7969,3463,7108,5776,3440,1645,8030,7886,6930,1634
+,6411,9575,6466,4118,6500,2026,9041,9978,5805,8770,6093,4976,4675,7148,1445,2712,4951,8870,7384,2748
+,2420,1177,8368,619,8694,5000,7808,3229,913,1230,3369,6529,9864,8788,8706,5682,560,9099,4238,5246
+,9977,501,364,7449,9479,9763,1726,7662,6645,3350,7321,516,8116,2808,8573,1804,9984,3912,3980,2008
+,4625,7689,4941,8714,7843,7112,2018,6825,5487,73,2353,6644,4271,5697,573,1531,517,1451,6181,6679
+,4493,7041,6279,7404,6716,7382,8311,7040,1317,5878,6321,1057,2140,1137,2558,1603,6152,9019,582,1903
+,733,7055,8173,6026,6659,3154,7099,2989,1146,552,9238,3996,6046,456,491,3394,3104,3580,755,7863
+,5301,7112,1860,463,4563,6181,9832,6086,2817,200,770,7929,3251,2406,8483,8083,8779,3473,4257,9791
+,2974,2093,8611,2941,7414,4485,7213,4259,2962,5607,4240,2853,1573,1294,1673,3639,6938,1157,2882,2284
+,3799,582,4754,4662,2772,8540,6353,7036,7697,5764,8392,2462,6042,392,7174,3072,804,3741,4645,9939
+,300,5586,2052,7908,7711,716,1974,8038,5868,8843,8886,6666,4247,8901,4540,6035,2627,4056,7943,6825
+,2217,7690,1129,1792,2525,5599,6280,6356,8763,2581,4209,1148,7756,4664,9193,3016,4039,4534,6692,3058
+,4333,8017,939,3768,4696,9894,7144,2656,4837,6931,1721,6429,9848,9967,3004,2988,3028,7366,4277,1657
+,2698,8680,9809,111,8737,391,8810,4695,9834,4754,5345,9689,5843,4108,7548,2399,8157,7148,3922,1207
+,4400,5619,3441,462,7326,2305,768,2790,8808,1280,7499,281,7057,5779,4308,5055,4258,5749,8910,1575
+,7434,8203,7095,4420,5936,7152,2796,2991,4457,4889,7516,5089,3273,4367,670,7229,8156,9774,2973,1032
+,6309,624,5707,5023,7623,3679,1961,8370,6140,7019,2348,3643,8239,2679,1634,9262,1924,6110,6115,5709
-,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,5030,7633,8384,3859,2842,6666,1998,4792,7875,1866,2631,4491,4183,2857,1640,9747,2049,1897,62,9962
+,5211,4759,7050,9953,9625,8089,9145,3546,5251,8660,8038,2455,7808,2353,4401,6215,9120,1814,4744,5427
-,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,5274,9079,839,8523,7419,5641,3858,7473,7981,1859,9666,5276,1796,4025,2697,2338,521,7078,3480,6255
+,8020,5306,4,1983,7514,1402,8740,8111,1752,2405,9643,656,1225,5652,9420,1520,899,9612,75,851
+,4065,4706,4933,8380,3684,353,335,7557,1460,5405,143,2068,6924,8770,73,5157,1203,6273,2862,7529
+,7074,7713,6182,9699,9887,5699,5269,6595,1212,6054,6085,2008,5274,7043,7365,1936,9264,7894,4213,6547
+,7393,8561,8234,7509,9301,7315,864,7989,6225,134,6519,66,772,634,2328,8795,5921,6342,3546,3743
+,984,2967,1636,3692,9749,1446,6236,994,6053,5334,3403,9975,3041,1323,3977,4885,9045,5701,7337,2746
+,2520,9600,8896,4392,681,1636,44,9012,4327,1308,5287,7075,4946,6641,6937,3882,8755,3213,6422,5291
+,5032,1125,5705,413,9553,2050,9242,1352,3859,5386,8190,5882,941,183,3988,6540,6245,786,2460,6036
+,1084,8420,7156,8270,724,5175,6911,662,4622,8218,3203,3210,96,35,591,2053,7439,9389,3780,9847
+,9392,4614,577,5981,8393,4357,9341,7081,2150,6565,6381,3510,2640,901,876,3862,3005,4784,2109,8191
+,5326,1944,8433,7643,1331,639,9500,3885,1895,5338,3091,9945,8366,680,5613,6080,6688,4009,6144,5240
+,5869,2879,1183,9238,2247,7316,3288,3558,7205,8266,889,6512,5343,1806,6793,5640,4848,8632,8184,239
+,4893,8124,2343,2727,4640,7758,2620,5867,7259,5536,507,6095,3810,3293,393,6663,4260,427,1436,4953
+,8264,9929,5844,3794,7961,6826,623,174,3864,4814,9479,4264,2598,547,74,988,5838,7071,7527,9183
+,217,308,4963,8994,8326,8860,2400,4196,284,116,6590,8176,4226,7285,1748,7399,316,9251,6476,4428
+,244,7653,3681,5040,2297,2045,8606,5401,6397,8042,8786,8844,7041,4583,1983,9685,7618,9249,5000,5853
+,137,20,8207,9448,2231,7725,5417,8869,1201,7902,9560,221,6519,7810,9359,4021,3620,7683,360,131
+,9782,3545,9304,70,5916,6261,1284,868,4230,4039,5033,7891,8370,5817,6195,4509,152,7703,2956,9581
+,3371,5971,5421,523,4673,9337,3985,7534,1285,7410,9304,2012,5080,3428,8887,3542,3737,4997,5612,9889
+,4802,7835,5857,9777,3178,1288,6552,3180,5279,5541,767,4888,8121,2613,1569,9507,688,4505,6949,1618
+,7295,7512,8048,2285,7677,3117,103,1601,2125,4235,1919,7225,2911,3866,1112,3212,1200,6544,8362,3051
+,9578,7101,7916,3168,2189,7203,4453,5262,9468,9645,9608,1158,62,9464,8097,4134,3372,7821,9816,2256
+,5652,991,5677,6325,2841,3251,2451,8776,6042,1029,8342,1285,9476,6805,308,1539,1367,1419,9351,9667
-,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,9731,9849,9494,6935,6078,5334,718,3768,5319,6349,9776,9259,4395,242,8113,3434,7003,1563,7529,3644
+,8634,3837,3358,9762,603,6366,3716,8334,5556,4199,1570,4873,9012,3874,6557,9092,8371,7596,7468,1215
+,2699,5112,7820,2972,651,9416,9980,5997,5603,9901,4011,6468,6825,711,1032,4773,9642,1626,2759,4837
+,5312,3982,800,920,1567,1636,1466,7552,7636,4167,4546,6258,9893,5782,1009,8510,681,8466,8491,5932
+,9590,3802,1541,2665,3400,8901,1427,1342,9514,685,5993,1617,9270,4665,485,3803,1280,7084,1458,4976
-,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4599,1795,3029,8687,7210,5387,3158,8058,5089,5876,1704,2014,7926,3543,5557,5389,9306,8946,2397,2521
+,4711,6211,7258,6488,7071,2855,6820,6397,9654,1050,452,5271,5286,9772,3386,1581,4262,5774,2074,2041
-,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,8808,4697,459,929,7985,7862,7897,4897,1348,3565,748,6378,5343,7310,7569,1614,4100,6704,7171,3438
+,4967,9510,2414,9818,4976,3867,4479,3736,3425,2495,6952,2793,4180,1468,4804,5989,9098,844,3788,2580
+,2146,7874,7024,2400,1107,5792,4391,985,8038,3773,4793,6481,8018,6307,8509,7249,1406,5484,1045,3039
+,5394,683,3966,4116,3856,7470,9969,936,7239,9383,8424,1580,6753,2253,6827,1881,4964,9033,852,2626
+,9209,5622,3757,2888,2814,9283,9911,8670,7775,6871,5655,9571,2368,842,9748,8485,3607,8118,8345,2476
+,9988,8032,2100,226,4862,8404,348,2423,2344,2906,2556,6637,6934,9700,795,8743,8256,9881,9975,1174
+,5852,6473,3718,1229,6378,6995,9288,2042,5335,4319,2440,4439,423,1563,5890,3188,5474,8845,10000,7944
+,2921,1325,5236,6176,5857,1209,972,7272,4775,8671,9583,842,1608,730,6588,6895,1146,968,1985,7096
+,2506,9331,7826,6049,443,6581,3506,520,3872,6690,8703,4529,4028,500,7116,6947,5141,4523,3900,9230
-,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,9757,4713,2460,5041,6906,2123,7378,1727,3463,6518,8562,5312,9951,426,8214,3756,5098,8934,7502,3392
+,2511,5488,1086,6764,9698,799,7608,6979,5646,190,3857,3614,8241,6738,5,4001,2462,2008,6466,327
+,3622,9418,136,1633,8093,5734,9070,8116,2051,9033,1991,2080,2289,8149,5682,3910,7907,3262,533,4808
+,9581,8603,9104,9451,5182,6798,7592,9752,1957,7834,5869,8451,5189,5394,2254,74,4299,8875,8999,9139
+,163,8578,7119,4231,3578,1209,2075,106,4793,5495,7043,555,5376,1061,9409,5782,3482,8912,1216,7837
+,3357,6632,6079,5496,2018,1278,2412,4025,7344,3696,9920,3736,8685,9050,9939,2854,2922,4947,1681,1285
+,7309,7543,8445,8233,836,9558,5393,6802,9288,3940,4245,9956,7577,420,5243,5331,3860,9309,1742,9593
+,3876,686,4688,850,5659,7355,2680,3984,393,9868,4939,7548,5656,3564,4353,1655,1684,854,9364,4053
+,4441,7599,4904,921,8323,2745,1999,5230,3598,3985,4882,4183,4631,639,7973,5361,9952,3841,9512,6177
+,9283,802,5999,9854,6291,7226,5920,5906,9563,3118,4266,2669,7869,7190,9800,2428,8707,1126,1710,4121
+,3632,7457,9518,7923,7659,4792,4912,4612,321,4182,5877,7405,1822,5971,5849,3677,9354,4364,8226,6424
+,6143,5308,1245,3182,7372,2847,2801,2973,5357,8309,1125,1107,7907,6043,4786,8335,2420,1057,199,6591
+,5696,7557,9629,8788,5720,7395,4163,1456,7631,4005,311,9560,3911,6047,5782,6824,1919,6560,7828,163
+,1931,6705,8717,9913,1467,8273,6950,288,5748,6050,4597,3479,914,821,9388,1895,3948,9042,1002,9131
+,8091,1330,199,7956,999,6338,9522,5337,4415,3197,4881,3514,3715,4504,2866,7393,3398,418,6915,8284
+,8772,8072,4178,937,4885,2449,382,1172,205,3676,4295,5709,312,94,1193,4910,6271,331,4548,9021
+,6436,1784,6875,1998,5101,5526,2118,1637,5246,1369,1756,9391,5801,7007,2749,8308,2067,7699,5336,2728
+,1517,198,2455,4826,2482,9655,9473,3638,2520,8669,3392,3363,9819,8690,3904,5424,5310,9468,891,8079
+,6772,2537,4746,9700,8262,7583,7727,6301,8204,807,9415,1433,7819,5974,1363,2662,9544,354,343,5389
+,9733,2017,7691,1203,2740,8909,6192,6021,4240,2216,5469,3001,9193,7034,8592,6101,1005,3674,2608,8617
+,6745,4481,9000,6495,7923,1073,6624,3882,7150,3965,2793,7842,5511,7972,6177,382,288,8521,4483,6900
+,5503,78,7635,6732,4305,449,4256,9594,5723,2044,9931,5132,6959,1827,2047,9926,9458,9044,6631,4507
+,772,638,5640,372,4293,5499,3749,1243,4773,6422,4025,11,7078,1311,6252,7201,8039,241,8835,5034
-,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,5777,7175,5760,6089,3701,8492,3809,9155,6161,2726,5819,3805,2640,4558,6499,3217,411,3964,6888,1336
+,3172,9007,2033,2501,8387,1421,3629,847,360,1381,7103,3797,4406,3131,1287,718,7919,6484,2784,7590
+,1610,4989,6304,2960,3165,8965,3597,9507,6615,7730,4996,4348,7867,8974,1837,9640,5587,1263,4027,3409
+,1565,750,2701,7999,8467,1888,4582,9648,1849,6807,9421,6107,9230,8321,1526,2492,4087,1355,2539,2490
-,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,8660,2235,6787,3943,7082,7581,5556,3584,2436,2220,8747,4958,6313,7007,2249,7955,2759,862,2691,7232
+,7363,2609,912,2226,882,6916,3158,1511,5000,7122,270,6773,8687,4668,5173,8547,5334,5792,4870,5653
+,116,7117,3557,7932,9468,7957,8428,7624,8651,4459,1441,864,4437,5449,3667,1302,7199,7763,6784,2806
+,451,9866,1170,7449,160,8678,1894,4686,9203,8236,1947,3037,8126,6135,9918,3267,7321,43,9479,3406
+,4361,6537,5361,4514,9608,840,3421,2773,3489,8941,3668,2746,8723,8729,8199,8516,9393,4850,8631,9895
+,2748,8743,9910,9666,7667,3728,9764,472,2084,4856,7418,4593,375,2016,1214,5707,7681,4630,9037,4799
+,6170,978,910,9383,311,7553,4321,1748,2953,7361,7221,6595,4266,6231,6020,8729,3716,6709,8333,7300
+,353,2227,6260,5264,2172,7671,692,7039,6733,2928,2500,8655,7340,1444,9549,7462,5124,2797,8899,678
+,4819,1085,3751,7686,4145,6318,3015,6591,1825,1163,4432,9684,4023,8198,2895,9420,390,3102,9542,7579
+,3019,5497,5252,427,453,9851,7362,3118,3711,3612,6390,2840,5709,6924,3630,462,8408,4745,9760,9663
+,4596,4057,9822,5880,3915,9602,269,4073,6765,9958,1581,1213,9822,2445,342,6195,1293,4263,7489,3651
+,999,1274,1393,7498,4134,4438,7504,8859,2556,1403,3837,4239,6379,7882,2854,6489,9028,3117,3140,6114
+,1254,4743,7451,283,5756,7795,3118,2748,1241,2228,7362,5,4252,613,6919,7103,7879,6464,7456,7020
+,725,7276,5785,3821,5767,4884,3336,840,4385,7492,1416,7432,8203,5662,6804,8147,7421,7792,9869,8740
+,2233,7634,6567,831,8066,8896,4935,5029,7369,2806,4357,2863,5064,4021,269,675,6996,1390,7983,2131
+,4292,5229,6603,8631,4613,5429,1563,2457,701,2970,5826,9947,4832,9792,5251,1581,9390,5389,1510,9507
+,3255,555,377,2859,4253,4658,8082,8830,7,7822,1959,5196,4430,8572,7712,6024,4,3313,5857,9504
+,3142,4822,6028,3650,6951,6197,3396,3012,3656,9900,7534,4715,4820,7058,3522,703,7652,3555,3191,7080
+,5809,1329,7230,9343,1351,5487,7976,4700,263,2963,6569,2874,8963,7863,4753,615,3771,2982,1367,5258
+,434,8370,8021,2284,8297,7098,7030,3616,8833,2320,1432,9755,6011,3285,8940,1293,5351,9594,1215,9478
+,3597,9809,9370,7820,5245,4182,1655,3375,1875,9087,849,2444,6896,5749,1051,597,5141,9360,2699,7653
+,9158,9505,3402,2750,9900,1735,9931,9704,356,7198,4128,1053,5028,5543,8789,9109,8153,8787,9239,9786
+,1839,938,1555,6472,929,5038,8350,3580,9585,2881,8318,961,5791,2810,4697,6331,531,1249,4311,570
-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1042,6935,332,3351,2804,4449,7750,6108,1197,8967,3986,3248,6834,6242,7128,6213,2528,873,7289,6057
+,8095,7653,6277,3604,7390,8978,9103,1353,9169,5391,678,4428,7038,8718,9855,5930,7971,5211,2365,5775
-,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4751,4185,4789,7168,815,329,534,2048,5693,7861,3651,6466,5059,1998,4287,3119,5745,1361,8632,688
+,6429,4419,2753,9008,3362,9071,8335,952,2350,6378,4109,2588,2097,9179,6007,6266,5735,3874,3744,8949
+,1098,9335,9280,7314,8748,2543,6315,3913,4600,6836,8478,1620,9204,5340,2982,5690,323,6083,203,9566
+,4892,1559,5665,7603,1074,5113,397,2583,4112,4057,2107,1704,5935,7452,9815,9218,615,9810,8274,7861
+,1909,8489,6500,6759,7919,676,6664,671,6573,7166,1605,3970,6735,1017,3739,3045,7252,8366,2271,7947
+,5980,8241,8452,6008,6275,4237,88,9661,3362,6068,4510,3186,1743,2052,9875,1156,7833,4539,3354,9556
+,1461,7890,8584,8494,9952,2712,3585,7946,3595,527,1809,3919,4985,2338,8683,1515,159,3295,9611,9867
+,6623,8802,9242,1295,2061,7349,6788,7192,1835,5089,2451,3190,5571,9972,9330,5837,1352,1129,1439,2915
+,1854,6277,3803,4633,9782,4547,1067,5447,5241,3378,4580,632,5399,1879,4207,9659,2415,4252,1298,3278
+,9945,2650,6928,5115,4226,4870,5364,8965,7855,2149,1099,4978,264,6631,4764,1858,24,5484,6392,7335
+,7559,8453,10,5810,6334,8524,8937,1907,6921,1878,5303,9671,6949,4060,6006,5285,1626,9926,9124,5501
+,3313,6081,9657,7975,8015,2788,7188,6621,4270,7673,5907,8566,1151,1735,47,9156,350,1029,1165,7729
+,9616,3938,3524,3061,6154,7844,9707,6963,8651,7425,7853,5529,4299,2124,9671,5177,5957,444,8996,6391
+,5682,9453,242,7393,6837,5214,370,2632,4236,6740,1548,9305,7487,5914,6022,7497,5069,5237,1845,7478
+,9146,3850,9488,524,358,9929,6447,7925,5330,3462,1715,5369,7298,3608,2003,1811,5172,3655,7620,575
