OP,A1,A2,A3,A4,A5
+,4049,1508,3600,1830,2517
+,2420,896,4902,2747,1814
+,972,4093,545,306,469
-,152,0,0,0,0
+,3375,752,4568,353,3683
+,4620,1913,1537,3197,876
+,287,4031,2265,125,4587
+,863,3100,2138,3012,3131
+,1262,1870,3366,3446,1595
+,1997,963,3333,2831,955
+,393,4550,4497,2507,843
+,3779,3040,1796,1751,158
+,2544,3298,1440,3327,3338
+,3160,4500,1535,4644,2151
+,2835,3769,4806,325,535
+,1461,4884,467,470,2185
-,165,0,0,0,0
-,199,0,0,0,0
+,2421,3058,516,4618,3851
+,2418,142,2112,1177,3181
+,2168,901,3452,1669,4213
+,1230,4479,835,456,3425
+,64,3375,3046,1506,3135
+,4256,672,1507,179,3055
+,3549,2955,1569,2658,17
+,4774,3675,3732,1233,2157
+,662,1558,1110,3168,102
+,4845,2116,322,2948,3055
+,909,1940,4824,4412,787
+,3355,2943,218,1090,1926
+,2503,1817,4443,4784,3019
+,1538,784,878,3766,4169
+,2766,4795,4778,1619,4171
+,1629,2902,4794,3091,2428
+,4718,631,562,1105,265
+,70,2062,78,875,913
+,1074,430,503,2690,2367
+,2199,133,340,1831,147
+,2293,4430,2918,3806,3434
+,2809,3044,18,3073,757
-,604,0,0,0,0
-,522,0,0,0,0
+,4700,955,1646,448,4679
+,2822,530,785,2228,67
+,540,4169,2152,4256,2811
+,2587,668,732,1783,2643
+,925,223,391,4664,1834
+,4947,1502,1190,3036,3208
+,1721,2856,977,3294,2481
+,3020,124,3709,3689,2472
-,699,0,0,0,0
+,4093,3989,4971,2380,3471
-,273,0,0,0,0
-,353,0,0,0,0
+,245,3085,2054,1017,4626
+,3992,883,1295,2102,3789
+,3045,4491,4324,4211,2621
+,1021,324,3850,1695,4853
-,571,0,0,0,0
+,2405,2393,660,1993,1927
-,134,0,0,0,0
-,755,0,0,0,0
+,3509,2146,3827,1478,45
+,3599,588,333,1073,1212
+,1164,1507,517,4995,4704
+,2532,4469,3246,1970,623
+,711,73,746,641,2766
+,3518,1513,358,910,4365
+,3873,1569,3759,4265,2463
+,1428,1437,1557,3331,3971
+,3912,2282,3619,2332,1794
+,4001,1414,4634,294,2939
-,275,0,0,0,0
+,806,4418,3702,373,1870
-,820,0,0,0,0
+,1103,2551,4754,61,4596
+,1638,752,4699,1793,1191
-,63,0,0,0,0
+,4201,3763,4693,417,4948
+,1499,221,3167,3133,762
-,358,0,0,0,0
+,4549,2823,2476,1259,242
+,3892,3593,2611,4273,1053
+,2739,762,4025,3463,1701
+,1415,3433,90,3026,828
+,67,3075,2451,4443,2467
+,316,3894,175,1904,1981
+,1955,2799,3924,726,1716
+,1285,4906,4888,3538,4837
+,1808,804,448,56,2797
+,2898,3586,4703,1528,4310
+,2074,556,3642,611,2098
-,864,0,0,0,0
+,2437,2771,3242,595,2106
+,1833,545,2504,220,3199
+,4271,3530,3553,4467,2899
-,857,0,0,0,0
-,140,0,0,0,0
+,4543,3627,4578,1107,4855
+,2782,3430,4675,1590,2794
+,2632,832,2614,1153,1561
-,751,0,0,0,0
-,639,0,0,0,0
-,819,0,0,0,0
+,2188,1193,4185,146,4642
+,1481,3558,3798,2378,3981
+,4513,3528,2343,2745,762
+,1113,4342,2089,295,3998
+,4738,679,2889,855,4947
-,87,0,0,0,0
+,4287,563,4914,749,3114
+,3315,3413,4808,2242,1428
+,1343,3989,3563,2865,3066
+,4956,2348,4675,1713,2523
+,2277,3959,1086,2913,2322
-,802,0,0,0,0
+,4261,104,3776,2141,4736
+,1439,3891,3186,413,522
+,1076,2447,2819,1960,2352
+,638,3352,2361,2225,73
+,1569,246,4608,2083,4654
+,4410,130,4585,363,2897
+,2897,4170,3459,364,4343
+,1967,703,2808,4837,2258
+,3533,2801,4045,3811,684
+,3416,714,3743,4930,4654
+,1793,1009,1383,1126,626
-,532,0,0,0,0
+,3149,1857,1897,1390,1395
+,3995,3115,1182,1941,3141
-,780,0,0,0,0
+,1509,4869,310,3787,3530
-,467,0,0,0,0
+,1504,1674,868,1267,589
+,3577,4282,3696,3727,4345
+,690,1442,3597,2916,3432
-,683,0,0,0,0
+,1969,4257,2927,700,2184
+,1188,4231,69,2969,2926
+,4222,4252,1054,597,3942
+,357,2619,840,2577,3766
+,1643,341,3261,4714,3625
+,2200,3898,24,2176,2718
+,4203,1322,1881,3228,409
+,343,2846,4668,4547,878
+,1235,3422,2508,2188,3787
+,457,2908,413,3924,2009
+,3993,538,1766,384,862
+,1325,3543,2840,2640,4814
+,2037,4046,632,3836,3137
+,2643,1260,3619,3780,4768
-,585,0,0,0,0
+,2879,874,3292,3850,4337
+,2113,1601,3197,3457,538
+,2915,4689,2778,3675,3553
+,2819,2607,4081,1634,1682
+,174,2978,611,3097,3296
+,4952,1136,4333,363,1424
+,2745,273,186,2677,1842
-,501,0,0,0,0
-,904,0,0,0,0
+,3494,3416,2607,4718,1924
+,938,2898,2707,2874,2507
+,4669,740,2426,1714,1314
+,4498,585,4365,3685,4118
-,157,0,0,0,0
+,3282,3585,4526,4762,1285
+,4158,4002,3954,2394,1570
+,4704,148,878,2392,3293
+,3706,2735,1786,2198,2665
+,1158,3456,3859,900,724
+,798,2877,99,924,1144
+,790,1340,1671,4197,3483
+,785,3620,4780,750,1118
+,3817,3154,4015,2313,560
+,1286,180,281,2267,4576
+,4132,1772,4947,1891,3365
+,4898,2937,4384,3073,789
+,1268,2934,417,2428,669
+,3449,1717,4305,3288,2162
+,4627,346,1174,329,469
-,353,0,0,0,0
-,521,0,0,0,0
-,997,0,0,0,0
+,930,2803,3395,2558,1921
+,4777,1552,3854,4946,3874
+,957,2348,1409,4656,2000
+,204,4801,2324,4144,27
+,1660,4050,4724,4243,1337
-,662,0,0,0,0
+,1306,1531,1018,1319,2933
+,2871,4754,3967,1810,4168
+,1579,651,4900,1006,585
+,2492,4830,3827,824,3351
+,3707,2393,2295,3661,668
+,3690,1217,705,3958,2324
+,74,4162,3655,3779,4602
+,1009,4781,4752,249,524
+,1938,2773,771,1774,918
+,4004,3731,1339,1348,3883
+,3080,2621,1983,3623,2468
+,3041,955,2781,1556,3751
-,547,0,0,0,0
+,4731,1279,963,647,4424
+,2335,2400,927,1420,1561
+,3820,4092,3045,1141,3399
+,4559,3985,4971,3932,3234
+,4733,4767,4366,2436,2177
+,598,439,1607,473,3878
+,2735,391,4293,1142,4583
+,3136,712,3101,4078,4712
+,2568,4927,3596,4236,2192
+,4011,1043,858,245,1404
+,1937,2279,571,2915,893
+,1464,2046,4334,1388,1860
+,4112,220,2742,4208,2271
+,3633,4977,2026,3058,2964
+,563,632,4252,2912,4535
+,1194,3607,3769,1940,489
+,543,3192,1658,1736,2874
-,756,0,0,0,0
+,4919,2175,2605,3766,298
+,3077,1297,4417,3393,2373
+,1917,4295,1354,2935,3103
+,2863,264,59,4862,2147
+,255,510,4970,4956,3371
-,59,0,0,0,0
+,2177,4049,3235,2905,1178
+,4137,2984,416,4762,4975
+,1024,601,4403,693,1422
+,4657,4181,2252,3237,2939
+,955,1967,2372,3342,2824
+,4582,1190,375,1520,934
+,2209,4872,2478,2106,4574
+,349,3462,2771,468,4545
+,4104,792,1214,4484,588
+,3758,3965,4652,4655,1942
+,1564,2676,4503,2888,2532
+,3598,365,3564,3512,1840
+,356,4679,643,3362,1994
+,4938,2852,4019,2915,3940
+,2585,2993,4901,1010,1640
+,3870,537,3604,860,3703
+,1253,2766,4742,3059,1347
+,922,1697,3064,4595,2332
+,3305,1639,4109,1260,4151
+,3126,3032,373,681,1856
-,609,0,0,0,0
+,2060,869,1166,3577,2023
-,981,0,0,0,0
+,3675,3136,3536,541,4926
-,466,0,0,0,0
+,2889,1666,903,1739,640
+,4744,3452,4688,719,4741
+,2976,1989,4230,794,928
+,3097,2769,3084,1512,4112
+,1958,1234,386,3108,306
+,1273,2343,4727,3216,3562
+,1848,3017,2363,4682,4843
+,3406,1232,2122,1769,3002
+,4995,669,3398,375,2773
+,3374,4374,3739,681,1554
+,3905,2221,4028,283,3973
+,274,4245,1504,4763,2570
+,3420,3156,625,3403,2095
+,3057,76,2225,4554,4428
+,3909,2242,4914,3271,4862
+,1494,2583,4744,677,2515
+,4868,4609,3252,1934,313
+,3014,286,1107,2567,3731
+,3095,3898,612,2492,3213
+,3090,3128,1044,1565,2278
+,2499,3919,3975,1787,4625
+,4751,2603,3247,110,1882
+,1707,795,280,162,4589
+,3046,4985,1300,1998,115
+,1871,3547,4541,3622,3047
+,544,930,2040,550,1141
-,562,0,0,0,0
+,4349,3423,1856,1273,299
+,3235,2641,1313,2935,4083
+,1828,248,2757,4332,980
-,469,0,0,0,0
+,1227,3901,3535,563,3461
+,2338,949,4000,4894,2380
+,2620,4462,3159,431,1891
-,132,0,0,0,0
-,745,0,0,0,0
+,2020,544,4250,1437,4419
+,2586,1330,4053,3221,184
+,2760,4349,3540,3584,300
-,335,0,0,0,0
+,3917,3812,4827,558,2559
+,1809,1190,1321,551,4291
+,4211,225,4318,2562,4585
+,1698,113,4643,2630,4161
+,3089,4859,2083,529,2792
+,1483,4479,2496,4309,1580
+,1332,4545,2287,4036,2465
+,3335,4633,1694,563,3046
+,4685,1270,3755,1116,2921
-,270,0,0,0,0
-,869,0,0,0,0
+,2191,1996,4430,3820,17
-,723,0,0,0,0
+,2105,4337,4400,1817,2431
+,1201,680,2522,3127,2934
+,1898,3622,3219,2867,2403
+,308,4182,4979,4028,324
+,1254,2713,2213,4747,2598
+,2257,1166,4584,3034,3421
+,760,4753,1343,4783,1811
+,3234,3845,3927,1668,2502
+,4896,962,3117,1192,4138
+,3957,1818,1213,1867,2110
-,279,0,0,0,0
+,768,4035,2914,590,3691
-,47,0,0,0,0
+,903,3777,622,3171,2879
-,388,0,0,0,0
+,4755,1650,4972,3478,2756
+,541,2745,408,518,354
-,249,0,0,0,0
+,3111,3537,4235,1340,1643
+,186,1273,2712,99,3387
+,1289,2908,1523,328,4973
+,3956,183,4024,1427,2448
-,88,0,0,0,0
+,4188,3900,334,707,1686
+,2524,3753,4616,932,2447
+,4616,1779,3655,324,853
+,896,2560,2809,2046,4787
+,1682,1541,4437,1610,4106
+,2593,2523,4025,3817,4898
-,924,0,0,0,0
+,3173,3456,4322,1230,4044
+,4485,598,2107,3883,4947
+,281,4451,304,63,4630
+,3651,1880,2262,3501,1289
+,1059,3823,3248,3249,4726
+,4435,1227,3239,1522,3676
+,306,3264,452,4104,2804
+,2116,2922,2612,401,4616
+,3894,2910,3874,1239,2394
-,208,0,0,0,0
+,3418,578,1046,2270,3860
+,1338,4425,2904,3179,1465
+,2089,517,2819,4493,1556
+,2291,3359,4186,4351,4989
+,3259,1204,848,2678,3727
+,1354,1213,567,121,1841
+,612,3201,2231,365,1518
+,3746,1819,745,3260,1531
-,720,0,0,0,0
-,883,0,0,0,0
+,1418,1847,1406,1089,4329
+,1379,1632,4325,4871,2829
-,610,0,0,0,0
+,2393,196,83,2049,4783
-,684,0,0,0,0
+,2222,4393,3624,3681,1379
+,1135,3792,4023,4220,1979
+,1731,4340,4977,2638,482
+,4159,2889,3173,4387,2811
+,1213,3844,895,729,3788
+,634,49,1516,685,2954
+,2307,817,3262,1322,13
+,16,3463,2533,949,3717
+,3218,2490,1455,3309,3151
-,244,0,0,0,0
+,473,1883,3503,1959,1462
+,2818,445,987,2060,727
+,3226,4845,2615,3336,549
+,991,1561,4150,3184,4213
+,1776,954,1644,360,1044
+,1094,2563,91,4460,1460
+,1493,2382,3719,2139,1448
+,1455,300,3223,4855,4983
-,507,0,0,0,0
+,4707,3913,4458,4200,4584
+,192,45,1189,707,1464
+,2383,2290,3255,2487,2997
+,2884,1858,2667,3524,2479
+,6,2672,217,2814,2587
-,985,0,0,0,0
+,3987,4341,1058,2469,3403
+,156,1873,2461,2251,4403
+,265,1625,4073,2761,814
+,1236,1861,3751,2371,1749
+,1060,881,2631,3684,3787
-,189,0,0,0,0
+,908,2136,380,2258,3427
-,711,0,0,0,0
+,4021,4770,1572,1041,2896
+,4624,1647,3807,3853,2149
+,4895,4345,1374,4070,4056
+,1745,2068,1966,3274,1125
+,3923,4203,4168,2858,2159
+,1772,460,4489,2303,4772
+,4706,2919,744,1984,1578
-,104,0,0,0,0
+,1166,4799,623,4571,1172
-,888,0,0,0,0
+,41,112,352,2892,1630
+,2686,1373,1348,1984,3554
+,4643,227,2654,4827,1886
+,3712,4755,4099,1515,3918
-,170,0,0,0,0
+,4335,2206,3657,1157,1086
+,288,4978,432,4313,4133
+,3035,1432,1965,1693,4249
-,68,0,0,0,0
-,491,0,0,0,0
+,2142,4975,3424,3680,4218
+,4960,3180,552,3772,2432
+,1126,3128,2143,2528,4623
-,569,0,0,0,0
+,1005,682,4588,3324,2958
-,821,0,0,0,0
+,2674,4960,2094,4135,2268
+,3019,3244,2500,3461,3418
-,299,0,0,0,0
-,766,0,0,0,0
+,4482,4221,505,3312,4333
+,2554,1575,2504,3318,558
-,490,0,0,0,0
+,953,4840,4004,2318,1401
+,4893,513,992,3720,2267
+,1112,4487,563,2183,2150
+,2830,1297,3623,4832,2957
-,470,0,0,0,0
+,3924,4443,3849,735,671
+,4041,85,3006,4382,4149
-,808,0,0,0,0
+,3043,3332,3225,329,3457
+,4833,337,4305,4065,4014
+,1215,725,805,2802,27
-,59,0,0,0,0
+,2021,1772,1575,3193,1052
+,4304,4848,2781,1620,3241
+,516,4860,1309,879,4586
+,3631,2779,3117,4169,2502
+,905,4851,1739,1772,203
+,3101,3023,4265,3116,648
+,1555,1682,4987,3767,4810
+,167,1417,51,4689,410
+,4285,1943,3580,44,2267
+,1116,3505,1126,1497,588
+,3890,562,4551,4221,4320
+,1107,3404,4323,3975,1216
+,2583,1059,2523,4273,1055
+,614,3083,1237,4363,3631
+,2876,2261,1036,3264,1323
+,1603,3384,844,3747,2750
-,235,0,0,0,0
+,4062,4798,533,4570,385
-,771,0,0,0,0
+,2706,358,3623,1538,3576
+,2979,3100,1617,2124,3196
+,35,1113,815,3629,1114
+,3056,2436,140,1366,4430
+,2610,4691,4244,4159,2779
+,4721,1564,3735,1297,4690
-,840,0,0,0,0
-,902,0,0,0,0
+,1739,4743,3788,4530,2819
-,977,0,0,0,0
-,199,0,0,0,0
-,315,0,0,0,0
+,169,1003,637,2625,2825
-,221,0,0,0,0
+,2135,2714,4437,1980,843
+,4200,4924,2757,3688,808
+,553,3661,1085,2764,4327
-,862,0,0,0,0
+,484,3686,3219,1030,131
+,1949,2704,2217,2710,2564
+,2203,4730,1151,2153,1104
+,134,2502,3016,4568,762
-,815,0,0,0,0
+,3891,939,2893,4643,4646
+,2695,4466,3685,1087,2815
+,2028,2599,3895,1387,3045
+,4138,285,1376,1519,4856
+,2912,1056,3989,2009,1172
+,3328,4179,3424,1389,771
-,361,0,0,0,0
+,4230,2177,35,3516,1689
-,69,0,0,0,0
-,694,0,0,0,0
+,4628,3609,4413,2417,1232
-,347,0,0,0,0
+,3051,2054,4368,3279,3521
+,4964,4904,3830,4030,3896
-,994,0,0,0,0
+,1818,1195,4837,1376,3816
-,413,0,0,0,0
+,4324,2670,684,503,1705
-,181,0,0,0,0
+,4638,4250,2380,3319,494
-,517,0,0,0,0
-,691,0,0,0,0
+,2656,1984,1444,4805,1073
+,1092,3043,3992,3248,4207
+,4747,1752,1187,289,559
+,2844,0,28,1810,2178
+,4098,506,70,3469,3957
-,456,0,0,0,0
+,1726,3773,3878,4794,2323
+,753,4585,3888,4109,647
+,1152,4245,712,425,3381
+,2015,4336,3716,3803,590
-,250,0,0,0,0
+,1904,2826,4718,4350,4529
+,1198,2505,3208,3959,872
+,2914,1571,3583,615,152
+,1271,4894,1153,1746,3532
+,431,714,3837,1817,2481
+,3680,2807,3956,1505,3177
+,38,2716,1722,3057,3427
+,1347,3494,986,1961,2317
+,613,2272,3729,1148,1149
+,1588,4370,917,2525,3042
+,1322,1685,92,1093,294
+,4052,4802,4292,4774,4905
+,2953,2390,2626,604,3025
+,4040,3093,4744,2992,4640
+,2038,4052,153,22,4443
+,2895,2048,4222,4787,2131
+,1577,2824,1331,2396,1774
-,248,0,0,0,0
+,1284,3786,4738,3163,4610
+,2899,3369,318,3128,4513
+,4441,856,3230,3639,1186
+,1552,4928,2200,1540,2652
+,3604,4521,911,1073,316
+,1041,4141,2853,3685,4251
+,4493,1931,1188,1098,2422
+,329,3664,33,4908,1748
+,1245,2364,1507,1508,4053
+,3908,512,1114,4601,4861
-,522,0,0,0,0
+,4684,3762,2746,2973,3539
+,3475,3133,1019,884,2001
+,2651,3947,1813,3647,1866
+,2477,783,3269,4115,1015
+,420,4906,4981,4080,2283
+,1713,3072,1454,2104,3010
+,3805,787,2630,2270,2818
-,463,0,0,0,0
+,2024,2208,1905,1230,4061
+,3307,3574,106,4415,1791
+,3373,848,4366,3851,1295
+,4827,1231,1404,4750,4722
+,139,3562,4115,2382,1029
+,1764,4726,1125,4708,3289
+,2628,2828,2952,1661,746
+,620,655,1519,1584,377
+,514,789,2862,3986,1785
+,4111,436,4067,717,1642
+,3726,1821,417,3939,1068
+,1963,3057,2206,3457,499
+,542,2793,2493,1028,3763
+,4489,4320,4887,1308,1104
+,1421,1568,2581,3844,4320
+,1823,4611,4355,1526,585
+,1163,2923,1833,3784,3253
-,622,0,0,0,0
+,2509,984,429,3154,3262
+,3127,845,3466,4711,2718
+,1568,1238,2318,3533,1644
+,2361,3179,505,4373,2218
-,599,0,0,0,0
+,1869,3209,3030,3608,1491
+,2454,1397,2185,1162,2772
+,526,4068,3149,4266,3440
+,2771,795,2301,76,178
-,683,0,0,0,0
+,162,1237,2654,656,4235
+,4109,3320,1566,3407,3415
+,3737,4823,1164,2086,531
-,825,0,0,0,0
+,4259,4534,4132,3040,4289
-,879,0,0,0,0
+,505,2361,4000,4961,1093
+,4409,2617,4381,220,1931
+,1223,342,3807,3486,1300
+,815,970,4155,4226,1551
+,402,4925,2013,4848,810
-,645,0,0,0,0
+,3764,2674,2104,445,913
+,4978,864,2216,3912,4625
+,2543,4167,3958,147,1920
+,2072,3452,2669,3798,4341
+,3620,1512,2235,4430,432
+,25,1515,4594,2682,370
+,3466,2346,3531,2937,3484
-,968,0,0,0,0
+,1365,4375,1553,1849,3291
+,3342,3035,241,2227,1782
+,2762,3603,1451,2352,2528
+,3088,49,1070,3973,529
+,3784,811,1675,3334,189
+,96,2202,417,54,3645
+,2751,1541,4234,3791,3719
+,4006,4659,3103,4109,1620
-,413,0,0,0,0
+,636,3523,1013,4801,2920
+,2063,4822,1957,2100,4989
-,513,0,0,0,0
+,125,2545,3618,4368,3434
-,421,0,0,0,0
-,234,0,0,0,0
+,2998,3967,1456,1692,1990
+,4977,2121,3969,3334,1446
+,2286,4753,758,171,1522
+,3155,1165,4717,4958,2986
+,2030,1278,4303,2996,3142
+,59,1405,962,2437,4946
-,940,0,0,0,0
+,326,1084,4633,2575,3502
+,4566,4223,4150,2269,353
+,108,2864,3275,3383,4259
+,3925,2073,4407,4013,677
+,4515,4169,1919,1053,4047
+,2174,2821,2329,609,4289
-,480,0,0,0,0
-,81,0,0,0,0
+,307,4121,128,957,4818
+,3251,2484,4133,3561,2037
+,3586,3864,1194,1629,1259
+,2891,2657,1633,2626,2452
+,1746,3217,686,4603,3422
+,2228,1821,4624,188,4533
-,176,0,0,0,0
+,3401,2428,4684,1713,2902
-,145,0,0,0,0
-,51,0,0,0,0
+,2395,2561,917,4247,130
+,4545,1450,2771,2800,2153
+,2046,4952,3021,728,299
+,2763,4906,289,4037,3513
+,3302,1622,3783,3289,2967
+,4110,1281,825,3438,2145
-,896,0,0,0,0
+,4299,896,2079,1309,1847
+,2275,2042,155,958,892
+,3953,4440,331,3371,2283
+,3400,3040,1658,3057,169
+,228,1106,448,4958,4794
-,292,0,0,0,0
+,4816,988,2346,2579,1598
+,708,3191,4106,3467,337
+,4147,3764,1716,1401,3145
+,4528,2953,3447,2017,1870
-,212,0,0,0,0
+,426,4614,3905,3339,3931
+,462,2059,63,4386,2359
+,3662,3091,2762,1071,335
+,1915,365,2906,4726,3968
+,2416,1243,2516,2893,1538
+,4507,962,3125,4523,1248
-,672,0,0,0,0
+,1517,2372,204,4573,1068
+,4809,4962,579,1272,810
+,968,1575,176,3238,3958
+,2319,653,3287,3232,459
+,2778,3997,3951,563,636
+,530,1753,2163,4599,2032
+,3166,4433,1860,2172,1237
+,1221,4895,1261,4980,2723
+,1422,896,120,928,1969
+,4922,2521,4628,2624,560
+,2093,2184,4709,1639,4464
+,2712,4786,669,3971,3615
-,686,0,0,0,0
+,3114,3913,4214,1109,3586
+,2400,4149,763,2000,3399
+,4654,662,4029,2900,2325
+,4278,581,2747,4732,3886
+,1511,1112,3129,345,3990
+,4848,4529,2008,2695,1790
+,2147,1665,2275,2950,4948
+,616,2700,3594,2651,4866
+,3399,2913,1895,4503,2655
+,3729,2066,4846,870,1335
-,910,0,0,0,0
+,3959,4452,1988,4794,2337
+,4385,1230,163,203,2663
-,191,0,0,0,0
+,2110,2863,1122,3109,570
+,4108,4634,4739,3397,1511
+,317,2851,2613,2724,890
+,2292,655,2110,3559,1984
+,1127,846,2454,4952,4763
+,42,3564,622,197,4082
-,28,0,0,0,0
+,4346,1697,4843,326,1156
+,1349,4464,3546,3166,545
+,4869,4594,2849,3254,1477
-,828,0,0,0,0
+,4502,830,3027,4399,3234
+,1758,2493,1204,3611,2519
+,4635,3987,1049,2031,3497
-,661,0,0,0,0
+,2599,4537,2008,3311,2219
+,3665,4016,4717,662,4450
+,4183,2461,327,630,2575
+,1340,1370,1655,2576,753
+,3353,817,3882,3109,1046
+,1584,1019,4737,2706,2392
-,406,0,0,0,0
+,238,2425,1649,4735,2615
+,1657,532,1622,1726,4849
+,3113,1477,4624,3913,2552
+,2765,1079,274,3029,2923
+,2943,4408,4148,198,2492
+,3540,2701,1671,4221,2118
+,2734,2431,3145,1857,4816
-,468,0,0,0,0
+,3910,3340,653,4530,3692
+,2806,1449,4120,872,1188
+,1089,3617,3049,2785,1846
+,3979,773,713,2552,4637
+,4673,1202,3057,2034,2519
+,4097,3133,1865,1392,3868
+,4520,4506,2896,893,312
+,3263,4144,906,4126,2016
+,3625,4972,2459,2674,1377
+,3452,2579,1596,2602,3268
+,3940,1801,4022,4794,3734
-,889,0,0,0,0
+,4671,3206,2491,2632,4374
-,869,0,0,0,0
+,643,1602,1233,2835,1380
+,131,1786,1489,4430,826
+,827,3019,2996,2088,2407
+,183,3640,2972,2398,4095
+,2343,326,2112,4849,1053
+,579,2408,2453,1998,3217
+,3703,2338,1481,2721,4819
+,2108,1525,3321,1180,2789
+,2070,2606,674,1630,3925
+,1401,4012,1597,4260,2362
+,755,1006,3010,588,3547
-,946,0,0,0,0
+,2195,454,1432,885,2522
+,606,315,2348,1264,3779
+,3794,441,1541,1065,3653
+,733,4489,4842,4019,4083
+,3841,847,4726,640,302
-,90,0,0,0,0
+,979,3340,3797,4345,277
+,95,4975,2082,2838,590
+,3443,2610,2438,3436,1471
+,1962,2248,1593,699,3005
+,2821,4245,1684,2032,469
+,4891,3017,2383,4676,1617
+,966,930,3911,47,430
+,2988,4057,1122,4783,4253
+,2826,3365,527,370,1822
+,1047,1689,2720,105,2456
+,4361,2223,2311,4403,4577
+,1211,103,4485,3590,1436
+,1011,1836,2982,1454,1629
+,1926,855,3872,3318,465
+,3151,1339,4730,839,3103
+,4727,3706,1141,4843,4836
+,3194,4638,2063,3137,3978
+,4958,3753,1100,16,2839
-,47,0,0,0,0
-,467,0,0,0,0
+,3669,4069,537,2863,689
+,2101,2403,3705,85,1543
+,2967,2827,1576,3400,2351
+,1859,4054,1211,882,4106
+,2447,991,2145,1346,4367
+,3621,325,136,1909,159
+,3142,4925,1596,1451,112
+,1860,1754,986,1257,1547
+,1547,4698,2594,324,2671
+,1364,2496,691,3537,4820
-,897,0,0,0,0
+,2738,1765,2204,1667,347
+,3351,779,3964,14,708
+,2246,4133,780,2015,4755
+,3246,4948,759,2385,3472
+,4734,4970,631,1920,4204
+,1857,3719,1046,781,490
+,4164,2846,3482,368,2884
-,174,0,0,0,0
+,1539,676,2284,1327,4759
+,2960,1259,1632,2897,94
-,408,0,0,0,0
+,4206,122,4731,3857,3377
+,1417,1247,2524,1129,4738
+,1473,1077,911,2423,3714
+,130,4592,3955,1765,867
+,1181,644,2837,3612,4473
+,2230,1330,3441,1102,2701
-,305,0,0,0,0
+,1139,4441,2531,4791,1002
+,746,2862,3427,3298,3799
-,252,0,0,0,0
-,317,0,0,0,0
+,1396,1253,3567,537,3520
+,3927,2767,4182,2542,1989
-,179,0,0,0,0
+,857,886,1706,468,3899
+,1359,2365,2920,3354,999
+,1913,2667,3193,1778,938
+,3836,1795,1543,865,2679
+,3893,2898,4019,3856,1854
+,4648,4970,2307,1751,1479
-,995,0,0,0,0
+,1397,2983,4225,709,3733
+,1767,3514,3124,4094,1445
+,3085,2011,854,768,1846
+,380,4492,1800,2807,4345
+,1704,3297,989,370,323
+,3350,4354,1865,993,2549
+,2061,4681,1794,2528,40
+,4173,2560,792,399,3898
+,48,833,1305,863,3099
-,505,0,0,0,0
+,80,896,4973,3082,3331
+,808,3731,2318,3789,3706
+,2747,4116,1275,910,2317
+,3419,545,1573,3403,2251
-,187,0,0,0,0
-,815,0,0,0,0
+,4890,3572,2389,1952,4390
-,666,0,0,0,0
+,858,161,866,3374,1480
+,699,1336,766,1301,3944
+,4859,3049,2535,4208,2945
+,608,1486,2488,1411,1469
+,4820,3618,3755,326,3748
+,718,3796,3222,1789,2721
-,343,0,0,0,0
-,150,0,0,0,0
-,122,0,0,0,0
-,895,0,0,0,0
+,695,2302,4826,1724,1527
-,275,0,0,0,0
+,3380,3948,4738,498,226
+,3974,1124,3174,2280,3551
+,3159,1664,659,12,4276
-,520,0,0,0,0
+,1352,2526,2592,3197,364
+,2920,851,2586,2403,2085
+,792,1276,484,3965,244
+,2715,3356,420,3887,3466
+,45,413,3466,212,1442
+,2877,1673,3098,1941,3535
+,4181,1133,2148,3627,4565
+,657,2967,1960,2236,2551
+,3591,1521,3770,3198,1089
+,958,3197,2309,4487,3325
+,3412,3970,2377,3852,2411
+,2428,722,4486,3621,4651
+,4630,1120,541,3203,46
+,99,417,3964,1046,1939
-,851,0,0,0,0
+,1058,4393,329,3192,3606
+,2406,2106,601,3426,54
-,843,0,0,0,0
-,567,0,0,0,0
-,604,0,0,0,0
+,1344,791,3243,3311,3103
+,1663,712,1877,2374,2811
+,2867,1567,812,3566,284
+,3831,810,766,4527,4137
+,3916,2228,3615,4568,2398
+,1050,4196,1476,3588,3439
+,3902,4398,539,2485,2955
+,2247,109,3205,2007,299
+,874,3065,224,2543,1836
+,941,2265,2341,4647,2521
+,850,2562,3864,1186,2707
+,3104,3149,3225,4523,2746
+,3790,2910,323,4353,3765
-,642,0,0,0,0
-,373,0,0,0,0
+,1580,751,4999,845,320
+,3275,1804,1808,4806,3886
+,590,518,3086,4453,1321
-,477,0,0,0,0
+,3724,4481,1728,3156,4648
+,1800,3349,3416,124,454
-,461,0,0,0,0
-,396,0,0,0,0
+,1754,4713,82,3097,1138
-,166,0,0,0,0
+,984,2084,4074,3393,4483
+,4818,4456,1856,275,4956
-,202,0,0,0,0
+,4193,2115,4297,4749,4377
+,2050,3071,2709,3033,1952
+,416,1210,2129,92,1009
+,4128,557,3579,2149,3732
+,4248,57,4462,1330,4883
+,3348,1273,3207,2882,4401
-,249,0,0,0,0
+,3689,1216,2297,285,1143
+,3093,3281,3388,3072,1825
+,1375,96,2966,2364,485
+,2328,853,4001,1604,126
+,4,2298,4871,2142,1069
-,156,0,0,0,0
+,2869,1190,3803,3483,1312
+,495,3568,4715,4517,409
+,3070,745,4715,2094,304
-,217,0,0,0,0
+,247,4360,2477,4870,1500
